Zenith Angle (degrees),Transmission at 810 nm
24.200000000000003,0.41489995
24.3,0.4146121
24.400000000000002,0.41425127
24.5,0.41403526
24.6,0.41386104
24.700000000000003,0.41342467
24.8,0.41324815
24.900000000000002,0.4127755
25.0,0.41252154
25.1,0.41216183
25.200000000000003,0.41194227
25.3,0.4115814
25.400000000000002,0.4113643
25.5,0.4109621
25.6,0.4107726
25.700000000000003,0.41055465
25.8,0.41018733
25.900000000000002,0.40982327
26.0,0.40964
26.1,0.40923822
26.200000000000003,0.4089386
26.3,0.4086421
26.400000000000002,0.40835083
26.5,0.40790638
26.6,0.4076472
26.700000000000003,0.40731844
26.8,0.40701762
26.900000000000002,0.4066777
27.0,0.40634444
27.1,0.4060485
27.200000000000003,0.4057471
27.3,0.40540984
27.400000000000002,0.40503877
27.5,0.40469682
27.6,0.4044704
27.700000000000003,0.40406543
27.8,0.40372264
27.900000000000002,0.4034152
28.0,0.40308177
28.1,0.40277466
28.200000000000003,0.40236747
28.3,0.4021328
28.400000000000002,0.40164655
28.5,0.40141517
28.6,0.40096524
28.700000000000003,0.4006969
28.8,0.40042037
28.900000000000002,0.40000483
29.0,0.3995939
29.1,0.39917707
29.200000000000003,0.39890167
29.3,0.39855978
29.400000000000002,0.39817765
29.5,0.3979033
29.6,0.39749086
29.700000000000003,0.39717418
29.8,0.3968277
29.900000000000002,0.39640942
30.0,0.39605978
30.1,0.39571935
30.200000000000003,0.39529738
30.3,0.39498603
30.400000000000002,0.39452678
30.5,0.3941793
30.6,0.39382192
30.700000000000003,0.3933328
30.8,0.39309117
30.900000000000002,0.39270556
31.0,0.39238277
31.1,0.39182723
31.200000000000003,0.39150354
31.3,0.39115396
31.400000000000002,0.39072907
31.5,0.39033902
31.6,0.3899177
31.700000000000003,0.38963464
31.8,0.38924342
31.900000000000002,0.3888552
32.0,0.38838857
32.1,0.38803545
32.2,0.38760918
32.300000000000004,0.3872523
32.4,0.3868304
32.5,0.38632855
32.6,0.38590193
32.7,0.3855761
32.800000000000004,0.38518798
32.9,0.38472208
33.0,0.38436297
33.1,0.38389814
33.2,0.3834703
33.300000000000004,0.38310817
33.4,0.3826425
33.5,0.3822843
33.6,0.38181692
33.7,0.3814893
33.800000000000004,0.38102263
33.9,0.3805245
34.0,0.3801629
34.1,0.3797253
34.2,0.37923002
34.300000000000004,0.37879187
34.4,0.37840033
34.5,0.3778624
34.6,0.37745497
34.7,0.3771301
34.800000000000004,0.37662226
34.9,0.37618938
35.0,0.3757201
35.1,0.37531635
35.2,0.37484992
35.300000000000004,0.37431288
35.4,0.37394348
35.5,0.37354112
35.6,0.3730381
35.7,0.37256607
35.800000000000004,0.37213296
35.9,0.37173095
36.0,0.3712615
36.1,0.3707854
36.2,0.37031648
36.300000000000004,0.369744
36.4,0.36936507
36.5,0.36896303
36.6,0.36828884
36.7,0.36787924
36.800000000000004,0.36741516
36.9,0.36696985
37.0,0.36646456
37.1,0.3660578
37.2,0.36541143
37.300000000000004,0.3650772
37.4,0.36443114
37.5,0.36402518
37.6,0.3635126
37.7,0.3630073
37.800000000000004,0.36257216
37.9,0.36215475
38.0,0.3615814
38.1,0.36100766
38.2,0.36059752
38.300000000000004,0.36002296
38.400000000000006,0.35947567
38.5,0.35900822
38.6,0.35852692
38.7,0.35801992
38.800000000000004,0.3574396
38.900000000000006,0.356965
39.0,0.35644954
39.1,0.35601014
39.2,0.3554625
39.300000000000004,0.35488495
39.400000000000006,0.35444635
39.5,0.35394052
39.6,0.35338977
39.7,0.35287648
39.800000000000004,0.35233852
39.900000000000006,0.3516948
40.0,0.35124373
40.1,0.35076436
40.2,0.3501597
40.300000000000004,0.3496471
40.400000000000006,0.34907123
40.5,0.34852934
40.6,0.3480475
40.7,0.3473722
40.800000000000004,0.34696302
40.900000000000006,0.34634945
41.0,0.34581047
41.1,0.34523425
41.2,0.3447178
41.300000000000004,0.34420592
41.400000000000006,0.34366423
41.5,0.3430584
41.6,0.34237644
41.7,0.34187397
41.800000000000004,0.34125847
41.900000000000006,0.3407543
42.0,0.3402346
42.1,0.33962667
42.2,0.33902502
42.300000000000004,0.33847466
42.400000000000006,0.33796927
42.5,0.33726078
42.6,0.33671415
42.7,0.3361429
42.800000000000004,0.33547044
42.900000000000006,0.3348567
43.0,0.33441284
43.1,0.33377364
43.2,0.33319858
43.300000000000004,0.33259347
43.400000000000006,0.3319868
43.5,0.33132368
43.6,0.33074072
43.7,0.33020604
43.800000000000004,0.32959092
43.900000000000006,0.32895824
44.0,0.32835162
44.1,0.3278432
44.2,0.3271119
44.300000000000004,0.3265698
44.400000000000006,0.32577553
44.5,0.3251757
44.6,0.324534
44.7,0.32409334
44.800000000000004,0.32342768
44.900000000000006,0.322696
45.0,0.32209897
45.1,0.321429
45.2,0.32086155
45.300000000000004,0.32019648
45.400000000000006,0.3195669
45.5,0.3188696
45.6,0.31816688
45.7,0.31760845
45.800000000000004,0.31700188
45.900000000000006,0.3163693
46.0,0.3156741
46.1,0.31502423
46.2,0.31423375
46.300000000000004,0.3136978
46.400000000000006,0.31297505
46.5,0.31232095
46.6,0.3117212
46.7,0.3109996
46.800000000000004,0.3103752
46.900000000000006,0.30968302
47.0,0.3090309
47.1,0.30828387
47.2,0.3076855
47.300000000000004,0.30693993
47.400000000000006,0.30625662
47.5,0.3056911
47.6,0.30497655
47.7,0.30414057
47.800000000000004,0.30364072
47.900000000000006,0.30283844
48.0,0.30209932
48.1,0.30147403
48.2,0.3008255
48.300000000000004,0.3001141
48.400000000000006,0.29925737
48.5,0.29875776
48.6,0.29795894
48.7,0.29731542
48.800000000000004,0.2965549
48.900000000000006,0.2958123
49.0,0.29507923
49.1,0.29446417
49.2,0.29358742
49.300000000000004,0.29282716
49.400000000000006,0.2922139
49.5,0.29139867
49.6,0.29069504
49.7,0.28990886
49.800000000000004,0.28932932
49.900000000000006,0.28844497
50.0,0.2877728
50.1,0.28694788
50.2,0.28634033
50.300000000000004,0.2856146
50.400000000000006,0.284867
50.5,0.28408533
50.6,0.28331283
50.7,0.2825929
50.800000000000004,0.28184232
50.900000000000006,0.2810661
51.0,0.2801994
51.1,0.27948183
51.2,0.27876696
51.300000000000004,0.2778473
51.400000000000006,0.27724177
51.5,0.27644664
51.6,0.27561474
51.7,0.2748467
