Zenith Angle (degrees),Transmission at 810 nm
0.0,0.91966504
0.1,0.919665
0.2,0.9196649
0.30000000000000004,0.91966474
0.4,0.9196645
0.5,0.9196641
0.6000000000000001,0.9196616
0.7000000000000001,0.9196629
0.8,0.9196621
0.9,0.91966033
1.0,0.91968316
1.1,0.9196541
1.2000000000000002,0.9196296
1.3,0.91965204
1.4000000000000001,0.9196269
1.5,0.9196486
1.6,0.9196466
1.7000000000000002,0.91964614
1.8,0.9196195
1.9000000000000001,0.9196414
2.0,0.9196136
2.1,0.9196096
2.2,0.919632
2.3000000000000003,0.91959983
2.4000000000000004,0.9196038
2.5,0.9196004
2.6,0.91957074
2.7,0.91959035
2.8000000000000003,0.9195634
2.9000000000000004,0.9195561
3.0,0.9195535
3.1,0.9195451
3.2,0.9195481
3.3000000000000003,0.9195388
3.4000000000000004,0.91951233
3.5,0.9195362
3.6,0.91950214
3.7,0.9194972
3.8000000000000003,0.9195203
3.9000000000000004,0.9194845
4.0,0.91948384
4.1000000000000005,0.9194495
4.2,0.9194678
4.3,0.91944003
4.4,0.9194308
4.5,0.9194526
4.6000000000000005,0.9194209
4.7,0.9194433
4.800000000000001,0.91941047
4.9,0.919378
5.0,0.91939586
5.1000000000000005,0.9193636
5.2,0.919381
5.300000000000001,0.9193522
5.4,0.9193414
5.5,0.91931033
5.6000000000000005,0.91932607
5.7,0.9192909
5.800000000000001,0.9193145
5.9,0.91928047
6.0,0.91926986
6.1000000000000005,0.91924036
6.2,0.91920596
6.300000000000001,0.919222
6.4,0.9192159
6.5,0.9191823
6.6000000000000005,0.91916454
6.7,0.9191588
6.800000000000001,0.9191555
6.9,0.919121
7.0,0.91913086
7.1000000000000005,0.9190965
7.2,0.9190888
7.300000000000001,0.91904956
7.4,0.9190413
7.5,0.919034
7.6000000000000005,0.91899824
7.7,0.91898966
7.800000000000001,0.9190007
7.9,0.9189637
8.0,0.9189562
8.1,0.91894835
8.200000000000001,0.9189128
8.3,0.9188975
8.4,0.9188621
8.5,0.91887033
8.6,0.91881096
8.700000000000001,0.9187966
8.8,0.91878974
8.9,0.918774
9.0,0.91876596
9.1,0.9187281
9.200000000000001,0.9187146
9.3,0.9187042
9.4,0.9186673
9.5,0.9186514
9.600000000000001,0.91863674
9.700000000000001,0.9186
