Zenith Angle (degrees),Transmission at 810 nm
0.0,0.715806
0.1,0.7158059
0.2,0.71580553
0.30000000000000004,0.7158049
0.4,0.7158041
0.5,0.715803
0.6000000000000001,0.715797
0.7000000000000001,0.7157967
0.8,0.7157947
0.9,0.71574086
1.0,0.7157935
1.1,0.71571034
1.2000000000000002,0.7157031
1.3,0.7157845
1.4000000000000001,0.7157764
1.5,0.71574426
1.6,0.71574366
1.7000000000000002,0.7157394
1.8,0.7156767
1.9000000000000001,0.71565014
2.0,0.715642
2.1,0.7156354
2.2,0.71562976
2.3000000000000003,0.7155699
2.4000000000000004,0.7156701
2.5,0.71560794
2.6,0.7156027
2.7,0.71548855
2.8000000000000003,0.71553284
2.9000000000000004,0.7154198
3.0,0.715462
3.1,0.71545553
3.2,0.7153674
3.3000000000000003,0.71543473
3.4000000000000004,0.7153457
3.5,0.7153408
3.6,0.71537983
3.7,0.71528983
3.8000000000000003,0.715357
3.9000000000000004,0.715321
4.0,0.7153075
4.1000000000000005,0.7151402
4.2,0.71512574
4.3,0.71511453
4.4,0.71515465
4.5,0.7150629
4.6000000000000005,0.7150776
4.7,0.71501
4.800000000000001,0.7149431
4.9,0.7149814
5.0,0.714914
5.1000000000000005,0.71487176
5.2,0.7148581
5.300000000000001,0.7147643
5.4,0.7147177
5.5,0.7147336
5.6000000000000005,0.7146382
5.7,0.71459574
5.800000000000001,0.71470743
5.9,0.71456057
6.0,0.71456844
6.1000000000000005,0.71444595
6.2,0.7144254
6.300000000000001,0.71443254
6.4,0.71431077
6.5,0.7142939
6.6000000000000005,0.7142729
6.7,0.71425587
6.800000000000001,0.7141545
6.9,0.71405256
7.0,0.7140388
7.1000000000000005,0.7140415
7.2,0.7139396
7.300000000000001,0.7139165
7.4,0.7137914
7.5,0.7138496
7.6000000000000005,0.71366936
7.7,0.71370065
7.800000000000001,0.7136749
7.9,0.7134967
8.0,0.7134716
8.1,0.7133971
8.200000000000001,0.71339804
8.3,0.7132969
8.4,0.7132726
8.5,0.71316856
8.6,0.71311426
8.700000000000001,0.7130656
8.8,0.71304023
8.9,0.7129081
9.0,0.7128813
9.1,0.7128296
9.200000000000001,0.712724
9.3,0.7127484
9.4,0.71256334
9.5,0.7125874
9.600000000000001,0.71248084
9.700000000000001,0.71245307
9.8,0.7123443
9.9,0.71229017
10.0,0.7121839
10.100000000000001,0.7120476
10.200000000000001,0.7120181
10.3,0.7119624
10.4,0.71184886
10.5,0.7118725
10.600000000000001,0.7117621
10.700000000000001,0.7117048
10.8,0.71159333
10.9,0.71148497
11.0,0.71135026
11.100000000000001,0.7113114
11.200000000000001,0.711258
11.3,0.71122146
11.4,0.71105653
11.5,0.7109433
11.600000000000001,0.7109648
11.700000000000001,0.7108504
11.8,0.7108166
11.9,0.7107021
12.0,0.7106391
12.100000000000001,0.7105011
12.200000000000001,0.7103865
12.3,0.7103266
12.4,0.71026033
12.5,0.7101449
12.600000000000001,0.7100024
12.700000000000001,0.70993817
12.8,0.7097687
12.9,0.70978445
13.0,0.70964074
13.100000000000001,0.7095273
13.200000000000001,0.70946056
13.3,0.7093681
13.4,0.70932984
13.5,0.7091299
13.600000000000001,0.7090678
13.700000000000001,0.7089447
13.8,0.70888406
13.9,0.7087606
14.0,0.70861137
14.100000000000001,0.7085161
14.200000000000001,0.7084245
14.3,0.708278
14.4,0.7082091
14.5,0.7080886
14.600000000000001,0.7080183
14.700000000000001,0.707947
14.8,0.7077999
14.9,0.70767796
15.0,0.70758116
15.100000000000001,0.70748526
15.200000000000001,0.7073863
15.3,0.70718217
15.4,0.7071141
15.5,0.70698714
15.600000000000001,0.70688856
15.700000000000001,0.70676374
15.8,0.7066907
15.9,0.7065415
16.0,0.70633554
16.1,0.7062623
16.2,0.70619065
16.3,0.706112
16.400000000000002,0.70590687
16.5,0.70583487
16.6,0.70568
16.7,0.7055232
16.8,0.7054438
16.900000000000002,0.7052908
17.0,0.70522285
17.1,0.70501095
17.2,0.70490724
17.3,0.7047255
17.400000000000002,0.70461696
17.5,0.7044883
17.6,0.7043321
17.7,0.7042528
17.8,0.70417583
17.900000000000002,0.70393586
18.0,0.7038604
18.1,0.7037017
18.2,0.7035414
18.3,0.7033847
18.400000000000002,0.703304
18.5,0.70313966
18.6,0.70298415
18.7,0.70284736
18.8,0.7026872
18.900000000000002,0.7025268
19.0,0.7023926
19.1,0.702282
19.200000000000003,0.7021198
19.3,0.70195794
19.400000000000002,0.7017983
19.5,0.70171213
19.6,0.7015017
19.700000000000003,0.7013889
19.8,0.70117384
19.900000000000002,0.70105827
20.0,0.7009196
20.1,0.700733
20.200000000000003,0.700645
20.3,0.70039904
20.400000000000002,0.70018333
20.5,0.7000986
20.6,0.6999029
20.700000000000003,0.69974107
20.8,0.6995705
20.900000000000002,0.6994815
21.0,0.69931364
21.1,0.6991217
21.200000000000003,0.69898057
21.3,0.69881225
21.400000000000002,0.6986427
21.5,0.6984743
21.6,0.69836015
21.700000000000003,0.6981634
21.8,0.69794136
21.900000000000002,0.69771886
22.0,0.69765615
22.1,0.69743127
22.200000000000003,0.6972623
22.3,0.6970376
22.400000000000002,0.696923
22.5,0.6967481
22.6,0.6965477
22.700000000000003,0.69637764
22.8,0.69620615
22.900000000000002,0.69608223
23.0,0.6957795
23.1,0.6956035
23.200000000000003,0.69548184
23.3,0.6952298
23.400000000000002,0.6950581
23.5,0.69485587
23.6,0.69460225
23.700000000000003,0.6945054
23.8,0.69432855
23.900000000000002,0.69412905
24.0,0.6939007
24.1,0.69377345
24.200000000000003,0.69349414
24.3,0.69339496
24.400000000000002,0.6931649
24.5,0.69296086
24.6,0.6927863
24.700000000000003,0.6925761
24.8,0.69235003
24.900000000000002,0.6921155
25.0,0.69185853
25.1,0.69175786
25.200000000000003,0.6914978
25.3,0.69129074
25.400000000000002,0.69111395
25.5,0.69090277
25.6,0.69069934
25.700000000000003,0.69046724
25.8,0.6903653
25.900000000000002,0.6899965
26.0,0.68986624
26.1,0.68968433
26.200000000000003,0.6894229
26.3,0.6891594
26.400000000000002,0.6890051
26.5,0.6887417
26.6,0.6885586
26.700000000000003,0.6883746
26.8,0.68808323
26.900000000000002,0.6878738
27.0,0.68766016
27.1,0.6873982
27.200000000000003,0.68721384
27.3,0.686947
27.400000000000002,0.6867368
27.5,0.6864444
27.6,0.68630826
27.700000000000003,0.6860424
27.8,0.6857755
27.900000000000002,0.68563986
28.0,0.685297
28.1,0.6850832
28.200000000000003,0.6848674
28.3,0.68465054
28.400000000000002,0.6843844
28.5,0.6841637
28.6,0.6839022
28.700000000000003,0.68368447
28.8,0.68341565
28.900000000000002,0.68316835
29.0,0.68297863
29.1,0.6826837
29.200000000000003,0.6824641
29.3,0.68222034
29.400000000000002,0.68197507
29.5,0.68162376
29.6,0.6814835
29.700000000000003,0.6811576
29.8,0.6808884
29.900000000000002,0.6806699
30.0,0.6803951
30.1,0.68015176
30.200000000000003,0.679822
30.3,0.67965466
30.400000000000002,0.6793525
30.5,0.67907953
30.6,0.6787775
30.700000000000003,0.678555
